	Iozone: Performance Test of File I/O
	        Version $Revision: 3.489 $
		Compiled for 64 bit mode.
		Build: linux-AMD64 

	Contributors:William Norcott, Don Capps, Isom Crawford, Kirby Collins
	             Al Slater, Scott Rhine, Mike Wisner, Ken Goss
	             Steve Landherr, Brad Smith, Mark Kelly, Dr. Alain CYR,
	             Randy Dunlap, Mark Montague, Dan Million, Gavin Brebner,
	             Jean-Marc Zucconi, Jeff Blomberg, Benny Halevy, Dave Boone,
	             Erik Habbinga, Kris Strecker, Walter Wong, Joshua Root,
	             Fabrice Bacchella, Zhenghua Xue, Qin Li, Darren Sawyer,
	             Vangel Bojaxhi, Ben England, Vikentsi Lapa,
	             Alexey Skidanov, Sudhir Kumar.

	Run began: Sat Jun 29 17:51:41 2024

	Auto Mode
	Command line used: iozone -a
	Output is in kBytes/sec
	Time Resolution = 0.000001 seconds.
	Processor cache size set to 1024 kBytes.
	Processor cache line size set to 32 bytes.
	File stride size set to 17 * record size.
                                                              random    random     bkwd    record    stride                                    
              kB  reclen    write  rewrite    read    reread    read     write     read   rewrite      read   fwrite frewrite    fread  freread
            8192       4   911137  2555044  4185717  4503356  4970447  3673735  3987989   5129233   5245116  3749505  3721887  6068689  6090202
            8192       8  1719981  4882166  7875605  6215800  6901200  4576535  5880691   6792065   6859866  4521133  4323172  7742506  7654539
            8192      16  1812049  4813767  8022717  6390362  7846828  5200658  7199064   7080386   8086916  4899570  4807705  8480105  9083135
            8192      32  1889371  4875931  8436380  6527546  8498983  5721087  8216483   8596799   9194949  5129233  5244315  9502650  9614327
            8192      64  1959292  5520695  9362822  6832584  8971666  5838720  9002223   8885819   9319649  5224380  5084451  8934340  8983394
            8192     128  1877088  4836126  8471741  6638529  9834473  6022946  3429182   3111222   3715447  4031505  4235769  8471741  9671156
            8192     256  1906882  5041185  8291831  6501608  9603578  6072979 10038471   8846925  10303370  5287898  5400092  9185117  9625100
            8192     512  1920310  5022761  8384911  6600272  8732257  5780764  9276873   7712960  10867125  4881472  4923441  8507400  9121717
            8192    1024  1864862  5056765  7735533  6131500  8705708  5569014  8283835   6715075   9143564  4513413  4734829  7846828  7920995
            8192    2048  1837143  4522919  6643663  2612350  3410461  3338228  5191229   5534924   8770148  4571055  4884942  6623173  6895660
            8192    4096  1792575  4170981  5724900  6321001  7502444  5066458  7440706   5443725   7855798  1894998  3367015  5851647  6532510
            8192    8192  1587289  3967268  4849778  6682426  6786699  4569232  6930432   4893987   6415419  4861443  4439927  6177802  6616796
           16384       4  1398078  3474224  5073867  4961764  3950801  2921025  3385061   5175124   3962419  3159253  3540998  5107429  5161907
           16384       8  1702207  3977787  6289072  5492370  5580685  3964248  5039634   6747917   5620394  3876804  3899905  6147850  6187150
           16384      16  1751537  4370132  6933793  5548244  6430310  4508617  6005999   7275131   6488597  4277907  4431568  7077327  7369534
           16384      32  1859705  4646722  7295211  5686906  7123547  4909654  7013761   7988959   7393320  4551318  4495051  7356911  7343546
           16384      64  1800456  2062730  6750568  5206097  6818216  4886264  4514838   5830698   7440550  4602221  4646722  7645856  7941872
           16384     128  1845422  4957469  7386168  5851550  7721458  4973975  7427682   8775530   7430895  4598525  4724349  7570887  7680895
           16384     256  1854636  4669138  7132419  5624535  7301412  5047407  7731883   9116642   8179131  4796231  4669138  7929958  8007577
           16384     512  1884077  4848685  7183116  5690674  7397299  5014993  7255927   7666328   7278213  4230503  4294482  7236824  7327103
           16384    1024  1774101  4252230  6189936  5024159  6499029  4725649  6564213   6840613   9164056  3927095  4077628  6660280  6801345
           16384    2048  1837576  4523456  6297141  5366275  6759200  4690491  6679052   6355378   9256637  3913898  4085871  6206148  6427303
           16384    4096  1787251  4213900  5868040  5336686  6432718  4442455  6363028   5730536   8962078  4185922  4459174  5923170  6157214
           16384    8192  1686085  3683346  4924430  5355819  5910943  4243303  4782213   4163856   6047756  3155627  4685055  5041113  5534838
           16384   16384  1577335  3877897  4208481  5417891  5509102  3823525  5256271   4147771   5407233  4115479  4079807  5443210  5511311
           32768      64  1193649  4614553  7294749  5713575  7036313  4566259  7140499   8175631   7275441  4235693  4356253  7434032  7462692
           32768     128  1764190  4617809  6730009  5263076  6879926  4357496  7003328   9115315   7339156  4261698  4440704  7586687  7654290
           32768     256  1841091  4707489  7395232  5766071  7307548  4814512  7587106   8694372   7590458  4320104  4387683  7682958  7892075
           32768     512  1805300  4683746  6747852  5445109  7021216  4647949  6889928   7560811   6681912  3787782  3971328  7000474  6515916
           32768    1024  1810579  4364415  6255811  5098488  6468078  4453367  6344174   6265507   6378919  3741076  3839741  6401201  6472038
